Candidate_Name,Candidate_Skills,Candidate_Exp_Level,Rank,Job_Title,Company,Location,Required_Skills,Job_Exp_Level,Salary,Industry,Skill_Similarity,Final_Score
Stephanie Smith,"statistics, python, numpy, machine learning, nlp",Mid Level,3,Estate manager/land agent,Hayes LLC,Toronto,"python, machine learning",Mid Level,93000.0,Software,0.3447,0.308
Sheri Smith,"numpy, pandas, scikit-learn, statistics, sql",Senior Level,1,"Doctor, hospital",Miller-Green,Berlin,sql,Senior Level,124000.0,Software,0.1908,0.1772
Sheri Smith,"numpy, pandas, scikit-learn, statistics, sql",Senior Level,2,Health service manager,"White, Jenkins and Sanders",Bangalore,sql,Senior Level,103000.0,Software,0.1908,0.1772
Sheri Smith,"numpy, pandas, scikit-learn, statistics, sql",Senior Level,3,Commercial horticulturist,Rivers and Sons,Sydney,sql,Senior Level,43000.0,Finance,0.1908,0.1772
Janet Henry,"pandas, numpy, nlp, scikit-learn, pytho",Entry Level,1,"Psychotherapist, dance movement",Barker Group,Sydney,"nursing, medical research, pharmaceuticals",Entry Level,112000.0,Healthcare,0.0,0.015
Janet Henry,"pandas, numpy, nlp, scikit-learn, pytho",Entry Level,2,Academic librarian,Clark Ltd,London,pharmaceuticals,Entry Level,104000.0,Healthcare,0.0,0.015
Janet Henry,"pandas, numpy, nlp, scikit-learn, pytho",Entry Level,3,Quantity surveyor,Dean-Delacruz,Sydney,"java, python",Entry Level,123000.0,Software,0.0,0.015
Christopher Parker,"scikit-learn, sql, numpy, nlp, pandas",Mid Level,1,Radiation protection practitioner,"Jones, Rojas and Jackson",San Francisco,sql,Mid Level,54000.0,Finance,0.192,0.1782
Christopher Parker,"scikit-learn, sql, numpy, nlp, pandas",Mid Level,2,Primary school teacher,Peterson Inc,London,sql,Mid Level,106000.0,Finance,0.192,0.1782
Christopher Parker,"scikit-learn, sql, numpy, nlp, pandas",Mid Level,3,Speech and language therapist,Rivera-French,Bangalore,sql,Mid Level,65000.0,Software,0.192,0.1782
Michael Cook,"scikit-learn, data visualization, sql, tensorflow, nlp",Mid Level,1,Radiation protection practitioner,"Jones, Rojas and Jackson",San Francisco,sql,Mid Level,54000.0,Finance,0.1935,0.1795
Michael Cook,"scikit-learn, data visualization, sql, tensorflow, nlp",Mid Level,2,Primary school teacher,Peterson Inc,London,sql,Mid Level,106000.0,Finance,0.1935,0.1795
Michael Cook,"scikit-learn, data visualization, sql, tensorflow, nlp",Mid Level,3,Speech and language therapist,Rivera-French,Bangalore,sql,Mid Level,65000.0,Software,0.1935,0.1795
Jamie Ramos,"statistics, python, pandas, data visualization, scikit-learn",Mid Level,1,"Psychologist, counselling",Williams Group,Sydney,python,Mid Level,143000.0,Finance,0.1894,0.176
Jamie Ramos,"statistics, python, pandas, data visualization, scikit-learn",Mid Level,2,Field seismologist,Morris-Griffin,New York,python,Mid Level,99000.0,Finance,0.1894,0.176
Jamie Ramos,"statistics, python, pandas, data visualization, scikit-learn",Mid Level,3,Risk manager,Murphy-Reynolds,Bangalore,python,Mid Level,55000.0,Finance,0.1894,0.176
Amy Sutton,"tensorflow, statistics, sql, data visualization, machine learning",Senior Level,1,Chiropractor,"Mcmillan, Mccann and Washington",Bangalore,"machine learning, sql",Senior Level,90000.0,Software,0.3448,0.3081
Amy Sutton,"tensorflow, statistics, sql, data visualization, machine learning",Senior Level,2,Medical secretary,Smith-Davis,Toronto,"sql, machine learning",Senior Level,110000.0,Software,0.3448,0.3081
Amy Sutton,"tensorflow, statistics, sql, data visualization, machine learning",Senior Level,3,Operational researcher,"Mclaughlin, Gordon and Snyder",Sydney,"sql, machine learning",Senior Level,145000.0,Software,0.3448,0.3081
James Shaffer,"tensorflow, data visualization, machine learning, pandas, scikit-learn",Entry Level,1,Science writer,Young-Brown,Bangalore,machine learning,Entry Level,74000.0,Software,0.2423,0.221
James Shaffer,"tensorflow, data visualization, machine learning, pandas, scikit-learn",Entry Level,2,Automotive engineer,"Avila, Harris and Hudson",Sydney,machine learning,Entry Level,60000.0,Software,0.2423,0.221
James Shaffer,"tensorflow, data visualization, machine learning, pandas, scikit-learn",Entry Level,3,Radio producer,"Elliott, King and Smith",Berlin,machine learning,Entry Level,91000.0,Software,0.2423,0.221
Deborah Patel,"statistics, python, nump, nlp, machine learning",Entry Level,1,"Research officer, political party",Fowler Ltd,New York,"python, machine learning",Entry Level,64000.0,Software,0.3043,0.2736
Deborah Patel,"statistics, python, nump, nlp, machine learning",Entry Level,2,Educational psychologist,Ryan Ltd,Berlin,"python, machine learning",Entry Level,149000.0,Software,0.3043,0.2736
Deborah Patel,"statistics, python, nump, nlp, machine learning",Entry Level,3,Control and instrumentation engineer,Medina-Barnes,New York,"machine learning, python",Entry Level,65000.0,Software,0.3043,0.2736
James Diaz,"nlp, sql, tensorflow, numpy, data visualization",Entry Level,1,Chartered certified accountant,"Jackson, Snow and Barnett",New York,sql,Entry Level,134000.0,Finance,0.193,0.1791
James Diaz,"nlp, sql, tensorflow, numpy, data visualization",Entry Level,2,Barrister's clerk,Jones-Brown,San Francisco,sql,Entry Level,50000.0,Finance,0.193,0.1791
James Diaz,"nlp, sql, tensorflow, numpy, data visualization",Entry Level,3,"Nurse, children's",Brown-Curry,Sydney,sql,Entry Level,47000.0,Software,0.193,0.1791
Mark Johnson,"statistic, tensorflow, numpy, data visualization, sql",Mid Level,1,Field seismologist,King-Mccarthy,San Francisco,sql,Mid Level,101000.0,Software,0.1727,0.1618
Mark Johnson,"statistic, tensorflow, numpy, data visualization, sql",Mid Level,2,"Engineer, control and instrumentation","Klein, Williams and Davis",San Francisco,sql,Mid Level,65000.0,Software,0.1727,0.1618
Mark Johnson,"statistic, tensorflow, numpy, data visualization, sql",Mid Level,3,Marine scientist,Mcclain Inc,Bangalore,sql,Mid Level,101000.0,Finance,0.1727,0.1618
Barbara Castro,"statistics, numpy, sql, machine learning, scikit-learn",Senior Level,1,Chiropractor,"Mcmillan, Mccann and Washington",Bangalore,"machine learning, sql",Senior Level,90000.0,Software,0.3433,0.3068
Barbara Castro,"statistics, numpy, sql, machine learning, scikit-learn",Senior Level,2,Medical secretary,Smith-Davis,Toronto,"sql, machine learning",Senior Level,110000.0,Software,0.3433,0.3068
Barbara Castro,"statistics, numpy, sql, machine learning, scikit-learn",Senior Level,3,Operational researcher,"Mclaughlin, Gordon and Snyder",Sydney,"sql, machine learning",Senior Level,145000.0,Software,0.3433,0.3068
Elizabeth Mathis,"statistics, python, data visualization, sql, nlp",Mid Level,1,Educational psychologist,Mccall-James,New York,"sql, python",Mid Level,133000.0,Finance,0.305,0.2743
Elizabeth Mathis,"statistics, python, data visualization, sql, nlp",Mid Level,2,Systems developer,Carter Inc,Toronto,"sql, python",Mid Level,65000.0,Finance,0.305,0.2743
Elizabeth Mathis,"statistics, python, data visualization, sql, nlp",Mid Level,3,Science writer,Church-Hall,New York,"sql, python",Mid Level,144000.0,Finance,0.305,0.2743
Jason Ford,"python, machine learning, sql, tensorflow, statistics",Senior Level,1,Diagnostic radiographer,Koch and Sons,Toronto,"sql, machine learning, python",Senior Level,122000.0,Software,0.4668,0.4118
Jason Ford,"python, machine learning, sql, tensorflow, statistics",Senior Level,2,Chiropractor,Brewer-Giles,Bangalore,"machine learning, python, sql",Senior Level,121000.0,Software,0.4668,0.4118
Jason Ford,"python, machine learning, sql, tensorflow, statistics",Senior Level,3,Heritage manager,Alexander Inc,Bangalore,"machine learning, python, sql",Senior Level,146000.0,Software,0.4668,0.4118
John Kline,"tensorflow, python, numpy, machine learning, nlp",Entry Level,1,Educational psychologist,Ryan Ltd,Berlin,"python, machine learning",Entry Level,149000.0,Software,0.3457,0.3088
John Kline,"tensorflow, python, numpy, machine learning, nlp",Entry Level,2,Immigration officer,"Johnson, Thomas and Todd",New York,"python, machine learning",Entry Level,82000.0,Software,0.3457,0.3088
John Kline,"tensorflow, python, numpy, machine learning, nlp",Entry Level,3,Accommodation manager,"Figueroa, Braun and Garcia",Berlin,"python, machine learning",Entry Level,57000.0,Software,0.3457,0.3088
Victoria Christian,"sql, pandas, nlp, scikit-learn, tensorflow",Mid Level,1,Radiation protection practitioner,"Jones, Rojas and Jackson",San Francisco,sql,Mid Level,54000.0,Finance,0.1929,0.1789
Victoria Christian,"sql, pandas, nlp, scikit-learn, tensorflow",Mid Level,2,Primary school teacher,Peterson Inc,London,sql,Mid Level,106000.0,Finance,0.1929,0.1789
Victoria Christian,"sql, pandas, nlp, scikit-learn, tensorflow",Mid Level,3,Speech and language therapist,Rivera-French,Bangalore,sql,Mid Level,65000.0,Software,0.1929,0.1789
Logan Hawkins,"sql, statistics, pandas, machine learning, tensorflow",Entry Level,1,Multimedia programmer,Cooper Group,Sydney,"sql, machine learning",Entry Level,126000.0,Software,0.3434,0.3069
Logan Hawkins,"sql, statistics, pandas, machine learning, tensorflow",Entry Level,2,Equities trader,"Bell, Brown and Bryant",Bangalore,"sql, machine learning",Entry Level,91000.0,Software,0.3434,0.3069
Logan Hawkins,"sql, statistics, pandas, machine learning, tensorflow",Entry Level,3,Research scientist (physical sciences),"Pittman, Barnes and Gordon",London,"machine learning, sql",Entry Level,100000.0,Software,0.3434,0.3069
Cynthia Jones,"machine learning, tensorflow, python, statistics, pandas",Senior Level,1,"Psychologist, sport and exercise",Campbell-Rogers,London,"machine learning, python",Senior Level,81000.0,Software,0.3423,0.306
Cynthia Jones,"machine learning, tensorflow, python, statistics, pandas",Senior Level,2,Amenity horticulturist,Vargas Ltd,Bangalore,"machine learning, python",Senior Level,133000.0,Software,0.3423,0.306
Cynthia Jones,"machine learning, tensorflow, python, statistics, pandas",Senior Level,3,Dramatherapist,Henry LLC,Berlin,"machine learning, python",Senior Level,77000.0,Software,0.3423,0.306
Bradley Harris,"numpy, python, nlp, statistics, scikit-learn",Mid Level,1,"Psychologist, counselling",Williams Group,Sydney,python,Mid Level,143000.0,Finance,0.1909,0.1772
Bradley Harris,"numpy, python, nlp, statistics, scikit-learn",Mid Level,2,Field seismologist,Morris-Griffin,New York,python,Mid Level,99000.0,Finance,0.1909,0.1772
Bradley Harris,"numpy, python, nlp, statistics, scikit-learn",Mid Level,3,Risk manager,Murphy-Reynolds,Bangalore,python,Mid Level,55000.0,Finance,0.1909,0.1772
Terri Armstrong,"statistics, tensorflow, nlp, pandas, python",Entry Level,1,Chartered public finance accountant,Griffith-Rodriguez,New York,python,Entry Level,92000.0,Finance,0.191,0.1773
Terri Armstrong,"statistics, tensorflow, nlp, pandas, python",Entry Level,2,"Designer, fashion/clothing",Matthews-Bradford,Toronto,python,Entry Level,68000.0,Software,0.191,0.1773
Terri Armstrong,"statistics, tensorflow, nlp, pandas, python",Entry Level,3,Learning mentor,Adams-Le,Bangalore,python,Entry Level,125000.0,Software,0.191,0.1773
Jason Moore,,Entry Level,1,"Psychotherapist, dance movement",Barker Group,Sydney,"nursing, medical research, pharmaceuticals",Entry Level,112000.0,Healthcare,0.0,0.015
Jason Moore,,Entry Level,2,Academic librarian,Clark Ltd,London,pharmaceuticals,Entry Level,104000.0,Healthcare,0.0,0.015
Jason Moore,,Entry Level,3,Quantity surveyor,Dean-Delacruz,Sydney,"java, python",Entry Level,123000.0,Software,0.0,0.015
Adam Graham,"nlp, data visualization, scikit-learn, pandas, machine learning",Mid Level,1,Research scientist (physical sciences),Gonzalez Group,Bangalore,machine learning,Mid Level,93000.0,Software,0.2433,0.2218
Adam Graham,"nlp, data visualization, scikit-learn, pandas, machine learning",Mid Level,2,Chartered accountant,Perry Ltd,Berlin,machine learning,Mid Level,109000.0,Software,0.2433,0.2218
Adam Graham,"nlp, data visualization, scikit-learn, pandas, machine learning",Mid Level,3,Adult guidance worker,Howell-Ellis,Berlin,machine learning,Mid Level,86000.0,Software,0.2433,0.2218
Curtis Walsh,"nlp, python, numpy, machine learning, statistics",Mid Level,1,Analytical chemist,Clarke and Sons,San Francisco,"machine learning, python",Mid Level,56000.0,Software,0.3447,0.308
Curtis Walsh,"nlp, python, numpy, machine learning, statistics",Mid Level,2,Human resources officer,Sullivan Inc,London,"python, machine learning",Mid Level,102000.0,Software,0.3447,0.308
Curtis Walsh,"nlp, python, numpy, machine learning, statistics",Mid Level,3,Estate manager/land agent,Hayes LLC,Toronto,"python, machine learning",Mid Level,93000.0,Software,0.3447,0.308
Madison Phillips,"machine learning, statistics, pandas, numpy, scikit-learn",Entry Level,1,Science writer,Young-Brown,Bangalore,machine learning,Entry Level,74000.0,Software,0.2413,0.2201
Madison Phillips,"machine learning, statistics, pandas, numpy, scikit-learn",Entry Level,2,Automotive engineer,"Avila, Harris and Hudson",Sydney,machine learning,Entry Level,60000.0,Software,0.2413,0.2201
Madison Phillips,"machine learning, statistics, pandas, numpy, scikit-learn",Entry Level,3,Radio producer,"Elliott, King and Smith",Berlin,machine learning,Entry Level,91000.0,Software,0.2413,0.2201
Dana Adkins,"python, sql, tensorflow, nlp, statistics",Mid Level,1,Educational psychologist,Mccall-James,New York,"sql, python",Mid Level,133000.0,Finance,0.3059,0.275
Dana Adkins,"python, sql, tensorflow, nlp, statistics",Mid Level,2,Systems developer,Carter Inc,Toronto,"sql, python",Mid Level,65000.0,Finance,0.3059,0.275
Dana Adkins,"python, sql, tensorflow, nlp, statistics",Mid Level,3,Science writer,Church-Hall,New York,"sql, python",Mid Level,144000.0,Finance,0.3059,0.275
Jeffrey Smith,"sql, tensorflow, nlp, machine learning, data visualization",Mid Level,1,Database administrator,Oconnell-Schultz,Toronto,"machine learning, sql",Mid Level,142000.0,Software,0.3476,0.3105
Jeffrey Smith,"sql, tensorflow, nlp, machine learning, data visualization",Mid Level,2,"Programmer, applications","Johnson, Walters and Swanson",Sydney,"sql, machine learning",Mid Level,141000.0,Software,0.3476,0.3105
Jeffrey Smith,"sql, tensorflow, nlp, machine learning, data visualization",Mid Level,3,Web designer,Patterson-Hayes,Toronto,"sql, machine learning",Mid Level,130000.0,Software,0.3476,0.3105
Christopher Valencia,"nlp, scikit-learn, python, tensorflow, data visualization",Mid Level,1,"Psychologist, counselling",Williams Group,Sydney,python,Mid Level,143000.0,Finance,0.1917,0.178
Christopher Valencia,"nlp, scikit-learn, python, tensorflow, data visualization",Mid Level,2,Field seismologist,Morris-Griffin,New York,python,Mid Level,99000.0,Finance,0.1917,0.178
Christopher Valencia,"nlp, scikit-learn, python, tensorflow, data visualization",Mid Level,3,Risk manager,Murphy-Reynolds,Bangalore,python,Mid Level,55000.0,Finance,0.1917,0.178
Kerri Smith,"statistics, nlp, pandas, numpy, sql",Senior Level,1,"Doctor, hospital",Miller-Green,Berlin,sql,Senior Level,124000.0,Software,0.1919,0.1781
Kerri Smith,"statistics, nlp, pandas, numpy, sql",Senior Level,2,Health service manager,"White, Jenkins and Sanders",Bangalore,sql,Senior Level,103000.0,Software,0.1919,0.1781
Kerri Smith,"statistics, nlp, pandas, numpy, sql",Senior Level,3,Commercial horticulturist,Rivers and Sons,Sydney,sql,Senior Level,43000.0,Finance,0.1919,0.1781
Lisa Barnett,"sql, numpy, data visualization, pandas, nlp",Mid Level,1,Radiation protection practitioner,"Jones, Rojas and Jackson",San Francisco,sql,Mid Level,54000.0,Finance,0.1919,0.1781
Lisa Barnett,"sql, numpy, data visualization, pandas, nlp",Mid Level,2,Primary school teacher,Peterson Inc,London,sql,Mid Level,106000.0,Finance,0.1919,0.1781
Lisa Barnett,"sql, numpy, data visualization, pandas, nlp",Mid Level,3,Speech and language therapist,Rivera-French,Bangalore,sql,Mid Level,65000.0,Software,0.1919,0.1781
Kristy Sims,"machine learning, data visualization, python, scikit-learn, numpy",Entry Level,1,Educational psychologist,Ryan Ltd,Berlin,"python, machine learning",Entry Level,149000.0,Software,0.3422,0.3058
Kristy Sims,"machine learning, data visualization, python, scikit-learn, numpy",Entry Level,2,Immigration officer,"Johnson, Thomas and Todd",New York,"python, machine learning",Entry Level,82000.0,Software,0.3422,0.3058
Kristy Sims,"machine learning, data visualization, python, scikit-learn, numpy",Entry Level,3,Accommodation manager,"Figueroa, Braun and Garcia",Berlin,"python, machine learning",Entry Level,57000.0,Software,0.3422,0.3058
Victor Jones DDS,"tensorflow, sql, python, nlp, machine learning",Entry Level,1,"Engineer, agricultural",Anderson-Bates,Sydney,"machine learning, python, sql",Entry Level,112000.0,Software,0.4719,0.4161
Victor Jones DDS,"tensorflow, sql, python, nlp, machine learning",Entry Level,2,"Programmer, applications",Miller Group,Bangalore,"machine learning, python, sql",Entry Level,50000.0,Software,0.4719,0.4161
Victor Jones DDS,"tensorflow, sql, python, nlp, machine learning",Entry Level,3,Diplomatic Services operational officer,Garrett Ltd,Toronto,"machine learning, sql, python",Entry Level,118000.0,Software,0.4719,0.4161
Jonathan Williams,"numpy, scikit-learn, sql, data visualization, tensorflow",Senior Level,1,"Doctor, hospital",Miller-Green,Berlin,sql,Senior Level,124000.0,Software,0.1919,0.1781
Jonathan Williams,"numpy, scikit-learn, sql, data visualization, tensorflow",Senior Level,2,Health service manager,"White, Jenkins and Sanders",Bangalore,sql,Senior Level,103000.0,Software,0.1919,0.1781
Jonathan Williams,"numpy, scikit-learn, sql, data visualization, tensorflow",Senior Level,3,Commercial horticulturist,Rivers and Sons,Sydney,sql,Senior Level,43000.0,Finance,0.1919,0.1781
Catherine Miller,"statistics, data visualization, tensorflow, machine learning, nlp",Entry Level,1,Science writer,Young-Brown,Bangalore,machine learning,Entry Level,74000.0,Software,0.2445,0.2228
Catherine Miller,"statistics, data visualization, tensorflow, machine learning, nlp",Entry Level,2,Automotive engineer,"Avila, Harris and Hudson",Sydney,machine learning,Entry Level,60000.0,Software,0.2445,0.2228
Catherine Miller,"statistics, data visualization, tensorflow, machine learning, nlp",Entry Level,3,Radio producer,"Elliott, King and Smith",Berlin,machine learning,Entry Level,91000.0,Software,0.2445,0.2228
Bryan Miller,"pandas, scikit-learn, numpy, tensorflow, nlp",Senior Level,1,Chartered public finance accountant,"Gilmore, Johnson and Chung",London,medical research,Senior Level,99000.0,Healthcare,0.0,0.015
Bryan Miller,"pandas, scikit-learn, numpy, tensorflow, nlp",Senior Level,2,Insurance risk surveyor,"Johnson, Ware and Snyder",London,merchandising,Senior Level,106000.0,Retail,0.0,0.015
Bryan Miller,"pandas, scikit-learn, numpy, tensorflow, nlp",Senior Level,3,Early years teacher,Richardson Ltd,Sydney,pharmaceuticals,Senior Level,87000.0,Healthcare,0.0,0.015
George French,"data visualization, pandas, scikit-learn, sql, python",Senior Level,1,Glass blower/designer,Owens PLC,London,"python, sql",Senior Level,147000.0,Software,0.3015,0.2713
George French,"data visualization, pandas, scikit-learn, sql, python",Senior Level,2,"Production designer, theatre/television/film",Campbell-Green,Sydney,"sql, python",Senior Level,105000.0,Finance,0.3015,0.2713
George French,"data visualization, pandas, scikit-learn, sql, python",Senior Level,3,"Administrator, local government","Daniel, Barton and Wells",Toronto,"python, sql",Senior Level,58000.0,Finance,0.3015,0.2713
Shane Nelson,"pandas, nlp, scikit-learn, numpy, statistics",Mid Level,1,Agricultural engineer,Miller LLC,Sydney,react,Mid Level,130000.0,Software,0.0,0.015
Shane Nelson,"pandas, nlp, scikit-learn, numpy, statistics",Mid Level,2,Pharmacologist,Johnson and Sons,San Francisco,"sales, customer service",Mid Level,40000.0,Retail,0.0,0.015
Shane Nelson,"pandas, nlp, scikit-learn, numpy, statistics",Mid Level,3,Higher education careers adviser,Hawkins-Jordan,London,research,Mid Level,52000.0,Education,0.0,0.015
David May,"scikit-learn, data visualization, python, machine learning, sql",Entry Level,1,"Engineer, agricultural",Anderson-Bates,Sydney,"machine learning, python, sql",Entry Level,112000.0,Software,0.4655,0.4107
David May,"scikit-learn, data visualization, python, machine learning, sql",Entry Level,2,"Programmer, applications",Miller Group,Bangalore,"machine learning, python, sql",Entry Level,50000.0,Software,0.4655,0.4107
David May,"scikit-learn, data visualization, python, machine learning, sql",Entry Level,3,Diplomatic Services operational officer,Garrett Ltd,Toronto,"machine learning, sql, python",Entry Level,118000.0,Software,0.4655,0.4107
Richard Shields,"nlp, scikit-learn, numpy, pandas, data visualization",Entry Level,1,"Psychotherapist, dance movement",Barker Group,Sydney,"nursing, medical research, pharmaceuticals",Entry Level,112000.0,Healthcare,0.0,0.015
Richard Shields,"nlp, scikit-learn, numpy, pandas, data visualization",Entry Level,2,Academic librarian,Clark Ltd,London,pharmaceuticals,Entry Level,104000.0,Healthcare,0.0,0.015
Richard Shields,"nlp, scikit-learn, numpy, pandas, data visualization",Entry Level,3,Quantity surveyor,Dean-Delacruz,Sydney,"java, python",Entry Level,123000.0,Software,0.0,0.015
Hannah Wagner,"tensorflow, data visualization, machine learning, scikit-learn, pandas",Entry Level,1,Science writer,Young-Brown,Bangalore,machine learning,Entry Level,74000.0,Software,0.2423,0.221
Hannah Wagner,"tensorflow, data visualization, machine learning, scikit-learn, pandas",Entry Level,2,Automotive engineer,"Avila, Harris and Hudson",Sydney,machine learning,Entry Level,60000.0,Software,0.2423,0.221
Hannah Wagner,"tensorflow, data visualization, machine learning, scikit-learn, pandas",Entry Level,3,Radio producer,"Elliott, King and Smith",Berlin,machine learning,Entry Level,91000.0,Software,0.2423,0.221
Amy Benjamin,"pandas, sql, machine learning, nlp, statistics",Mid Level,1,Database administrator,Oconnell-Schultz,Toronto,"machine learning, sql",Mid Level,142000.0,Software,0.3452,0.3084
Amy Benjamin,"pandas, sql, machine learning, nlp, statistics",Mid Level,2,"Programmer, applications","Johnson, Walters and Swanson",Sydney,"sql, machine learning",Mid Level,141000.0,Software,0.3452,0.3084
Amy Benjamin,"pandas, sql, machine learning, nlp, statistics",Mid Level,3,Web designer,Patterson-Hayes,Toronto,"sql, machine learning",Mid Level,130000.0,Software,0.3452,0.3084
Juan Hall,"statistics, pandas, scikit-learn, nlp, numpy",Mid Level,1,Agricultural engineer,Miller LLC,Sydney,react,Mid Level,130000.0,Software,0.0,0.015
